Name,Efficiency,Efficiency Detail,Project,Owner,Cluster
vm36,Overprovisioned,Overprovisioned: Max hourly average CPU usage (27.88%) was below the minimum threshold (50%) and max hourly average memory usage (14.86%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster1
vm37,Overprovisioned,Overprovisioned: Max hourly average CPU usage (3.19%) was below the minimum threshold (20%) and max hourly average memory usage (6.09%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster1
vm38,-,-,_internal,admin,cluster1
vm39,Overprovisioned,Overprovisioned: Max hourly average CPU usage (35.08%) was below the minimum threshold (50%) and max hourly average memory usage (14.18%) was below the minimum threshold (20%) for 99.5% of the time in the lookback period.,_internal,admin,cluster1
vm40,-,-,_internal,admin,cluster1
vm41,-,-,_internal,admin,cluster1
vm42,-,-,_internal,admin,cluster1
vm43,Overprovisioned,Overprovisioned: Max hourly average CPU usage (45.03%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster1
vm44,-,-,_internal,admin,cluster1
vm45,Overprovisioned,Overprovisioned: Max hourly average CPU usage (42.38%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,_internal,admin,cluster1
vm46,-,-,_internal,admin,cluster1
vm47,-,-,_internal,admin,cluster1
vm48,-,-,_internal,admin,cluster1
vm49,-,-,_internal,admin,cluster1
vm50,-,-,_internal,admin,cluster1
vm51,Inactive,Inactive: The VM was powered off for the last 36 days.,_internal,admin,cluster3
vm52,-,-,,,cluster1
vm53,-,-,,,cluster1
vm54,-,-,_internal,admin,cluster1
vm55,-,-,_internal,admin,cluster2
vm56,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.55%) was below the minimum threshold (20%) and max hourly average memory usage (42.84%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,,admin,cluster2
vm57,Overprovisioned,Overprovisioned: Max hourly average CPU usage (0.65%) was below the minimum threshold (20%) and max hourly average memory usage (47.85%) was below the minimum threshold (50%) for 99.5% of the time in the lookback period.,,admin,cluster1
vm58,-,-,_internal,admin,cluster3
